,country,burn_2002,burn_2004,drowning_2002,drowning_2004,fall_2002,fall_2004,poisoning_2002,poisoning_2004,total_2002,total_2004
20,Bolivia,1.481776,1.3561747069999999,6.402012,5.98868227,0.6592804,0.606545389,1.055268,0.966968,9.598336399999999,9.006670366
21,Bosnia and Herzegovina,0.5372866,0.46446988,5.764493,5.684990882999999,0.3968507,0.371162683,0.5308095,0.53964299,7.2294398,7.051432945999999
22,Botswana,3.8520410000000003,5.7040419579999995,7.095198,9.15308857,3.3133559999999997,5.090471268,5.670694999999999,7.253134727000001,19.93129,25.618296796
23,Brazil,0.9061288000000001,0.75271076,4.259397,4.08928442,4.782853,6.068707943,0.21343299999999998,0.166350588,10.1618118,11.124136123000001
24,Brunei,1.103618,1.092896581,5.07066,3.7396495339999998,2.760267,2.422203779,1.060196,1.005076647,9.994741,8.314945894
25,Bulgaria,1.238858,1.114601254,2.2000450000000003,1.787187696,2.8336189999999997,3.1437933439999997,1.629415,2.147266626,7.901936999999999,7.674997294
26,Burkina Faso,7.659241000000001,5.889253616,9.378786,5.061034679,6.027211,4.5256223680000005,9.017749,5.851376534,32.082987,24.493659663000003
27,Burundi,4.981118,5.640760899,11.821110000000001,18.43715858,3.886196,5.0792493819999995,7.982444,11.61680317,28.670868000000002,37.139612860999996
28,Cambodia,0.6441131999999999,0.789973259,7.8056350000000005,8.70589447,5.5889050000000005,5.423884869,0.7264,0.8332050440000001,14.7650532,15.646152598
29,Cameroon,6.640471000000001,5.4323821070000005,7.3611699999999995,4.424489498,5.41176,4.248663425,7.053217999999999,5.093057632,26.466619,21.15875303
30,Canada,0.6815603,0.544410825,0.933789,0.798493087,3.087231,3.585384369,2.5307180000000002,2.4079020019999997,7.2332983,7.459006281
31,Cape Verde,1.739057,3.4052982330000003,0.9686725,1.326069355,1.47547,3.313320637,0.43837299999999996,0.6978845,4.621572500000001,8.483061225
32,Central African Rep.,5.939306,6.178782462999999,14.29328,15.47269344,4.726401999999999,5.358716011,9.777591000000001,10.785896300000001,34.736579,36.787782914000005
33,Chad,6.745008,5.925448895,8.076636,5.207401276000001,5.42399,4.525423527,7.46593,5.895490646,27.711564000000003,23.124203698000002
34,Chile,1.835357,1.687976718,3.225192,3.0905959610000004,2.16193,4.501862049,1.038432,0.527493358,8.260911,10.318866728
35,China,1.074561,0.806686938,9.386707000000001,9.949160576,8.447947000000001,8.98939991,5.510108,4.004791737,24.419323000000002,25.255355423999998
36,Colombia,0.5612715,0.45062568799999997,3.103212,3.624592781,4.180001,4.472536563999999,0.31634520000000005,0.53978163,8.1608297,8.864100233
37,Comoros,3.916026,3.01920414,3.8694309999999996,2.127783775,3.404397,2.520788908,3.7008900000000002,2.445445061,14.890744000000002,11.368666823
38,"Congo, Rep.",4.392453,4.7009058,10.17131,10.05241489,3.7096120000000004,4.312780857,7.076364999999999,7.42176199,25.34974,26.142466547
39,Cook Is,3.5504019999999996,3.358692646,4.252205,3.944647312,0.030216200000000002,0.01940852,3.6967800000000004,3.436737776,11.5296032,11.019528478
40,Costa Rica,0.1935318,0.768048108,4.226932,3.231229305,2.92673,2.844651461,0.3832477,0.205251932,7.7304414999999995,7.227176574
41,Croatia,0.8633496999999999,0.6158559920000001,2.215064,1.46665585,7.306144000000001,9.772564888,1.538751,1.722920895,11.9233087,13.39382773
42,Cuba,0.6862583000000001,0.522075117,2.6534419999999996,2.52556324,10.75212,10.38177299,0.32069509999999996,0.27967152,14.4125154,13.750106447
43,Cyprus,0.9647783999999999,0.7399058940000001,3.8902980000000005,3.3060545919999997,0.4540549,0.361344337,0.1896975,0.16638250599999999,5.498828800000001,4.597002323
44,Czech Rep.,0.4114805,0.574800909,1.843231,1.57860148,10.83183,12.07424545,2.613954,2.603830099,15.700495499999999,16.841601839
45,Cote d'Ivoire,6.3156870000000005,8.28869915,16.71086,25.92507935,5.341683,6.89838028,10.661669999999999,16.47492409,39.0299,51.77382878
46,"Korea, Dem. Rep.",3.37175,3.083038092,5.348045,5.1696152689999995,5.932664,5.490858555,2.2177759999999997,2.108662367,16.870235,15.961287916
47,"Congo, Dem. Rep.",6.036192,6.007056236,17.318939999999998,16.79712296,4.815111,4.561295033,11.65109,11.29163456,39.821332999999996,39.016564229
48,Denmark,0.9470111999999999,0.840786755,0.7514781,0.8796413540000001,12.706439999999999,3.1027948860000003,2.304068,3.593316078,16.7089973,7.127290995
49,Djibouti,4.646749,4.1280956269999995,8.38129,7.340726376,6.021299,5.331958294,4.949175,4.758820534,23.998513,21.749955297
