,country,burn_2002,drowning_2002,fall_2002,poisoning_2002,total_2002
0,Afghanistan,5.460642,8.894667,6.331071,5.220776,25.907156
1,Albania,0.2715491,1.223273,0.788038,1.288356,3.5712161
2,Algeria,4.535572,3.8037050000000003,4.422987,4.2149980000000005,16.977262000000003
3,Andorra,0.25484070000000003,0.7054017,2.160558,2.593317,5.714117399999999
4,Angola,9.622183,19.18674,7.728636,12.89118,49.428739
5,Antigua and Barbuda,0.4155295,3.4998650000000002,4.849943866145835,0.7010223000000001,9.466360666145835
6,Argentina,1.20581,2.5033939999999997,0.9156841,0.5060582,5.1309463
7,Armenia,1.7472880000000002,2.312726,1.389538,2.5245919999999997,7.974144000000001
8,Australia,0.43894110000000003,1.2505469999999999,2.145666,4.185172000000001,8.0203261
9,Austria,0.46500159999999996,0.9030446,6.149815,0.9908046,8.508665800000001
10,Azerbaijan,4.9854400000000005,0.49228469999999996,0.32729179999999997,1.246602,7.051618500000001
11,Bahamas,2.632014,7.378496000000001,2.636469,0.6582439999999999,13.305223000000002
12,Bahrain,3.4602370989583324,0.7915528000000001,0.922175,0.09128539999999999,5.265250298958333
13,Bangladesh,12.55292,6.269516,11.54749,7.232305,37.602231
14,Barbados,0.2786933,3.250342,1.9527430000000001,4.421706545833331,9.903484845833331
15,Belarus,7.009492999999999,16.80746,6.217752,35.11995,65.154655
16,Belgium,0.7817637,0.5869388000000001,5.611276999999999,1.3741700000000001,8.3541495
17,Belize,3.4602370989583324,6.4369,2.722101,4.421706545833331,17.040944644791665
18,Benin,6.434937000000001,7.249941000000001,5.192746,6.832122,25.709746000000003
19,Bhutan,14.75865,6.63132,13.411679999999999,9.06007,43.861720000000005
20,Bolivia,1.481776,6.402012,0.6592804,1.055268,9.598336399999999
21,Bosnia and Herzegovina,0.5372866,5.764493,0.3968507,0.5308095,7.2294398
22,Botswana,3.8520410000000003,7.095198,3.3133559999999997,5.670694999999999,19.93129
23,Brazil,0.9061288000000001,4.259397,4.782853,0.21343299999999998,10.1618118
24,Brunei,1.103618,5.07066,2.760267,1.060196,9.994741
