,country,burn_2004,drowning_2004,fall_2004,poisoning_2004,total_2004
166,Syria,3.0976850989999996,1.607222676,1.18450439,0.974044502,6.980078164999999
167,Tajikistan,1.947034955,4.685183525,1.235026121,2.2118339540000003,11.432485601
168,Thailand,0.756065428,6.487938403999999,4.485964298,0.44258073,12.48243733
169,"Macedonia, FYR",0.6181582210000001,1.357207179,1.972636819,1.5093365909999998,4.724609719
170,Timor-Leste,6.648386478,5.657885551000001,8.450176239,4.619199276,26.714071267999998
171,Togo,4.9071898460000005,4.1714496610000005,3.7746570110000004,4.729180336000001,20.106378518
172,Tonga,3.862245321,3.737372398,0.022620837999999997,2.703763008,10.410750557
173,Trinidad and Tobago,1.413901329,4.429727077,2.5987622740000003,0.267690152,8.786114379999999
174,Tunisia,3.224134445,2.666603088,3.4531450269999997,2.018692732,12.26289856
175,Turkey,0.636880338,0.7045708890000001,8.000944138,0.504526794,10.154272964999999
176,Turkmenistan,7.8628873829999995,10.0855341,1.935352325,3.638997793,23.979552808
177,Tuvalu,7.7020030020000005,8.763174057,0.116566814,7.774079323,23.845620873
178,Uganda,6.159128189,8.380665779,4.589588642,11.69975376,29.33318261
179,Ukraine,4.702908993,8.89242363,6.7216701510000005,31.03318596,49.902812774
180,United Arab Emirates,1.4742064480000001,2.9602580069999997,1.791452646,0.162322968,6.568151801
181,United Kingdom,0.577689111,0.347905368,3.453276873,1.8538086409999999,6.331205352
182,Tanzania,4.958661079,11.59088802,4.368362904,9.795476913,29.959208003
183,United States,0.973697603,1.1515256170000001,3.96007967,6.753244400000001,10.40363889
184,Uruguay,1.2331317659999999,2.164458752,0.9455425740000001,0.560129702,5.207247192
185,Uzbekistan,2.180389881,5.271134853,2.608140707,2.061176062,12.687658441
186,Vanuatu,4.0037279130000005,5.495388508,0.058709171,3.4857103819999997,13.055289592000001
187,Venezuela,0.49058008200000003,2.7272920610000004,4.966413975,0.437854022,8.611036518
188,Vietnam,4.121252537,4.523878098,7.921552181,3.875869989,20.891471816
189,"Yemen, Rep.",6.045213699,7.664317131000001,6.745578289,5.138481617,25.520184119
190,Zambia,5.194853783,14.15933514,4.415143013,7.587534428,28.115695936
191,Zimbabwe,6.468673229,16.04756355,5.279467106,11.12145424,33.507676885
